Generated by GetData Graph Digitizer 2.26.0.20 on June 20 2019, 11:33
from file 'C:\Users\2gouvy\Documents\ENSTA\PRe\stage\11_06\frontieres_systs_CO2_to_CH4.JPG'

Line #1
 3.10749621841446e+001    9.92040072408064e-001
 3.16245939445037e+001    8.81741761102983e-001
 3.18996784619072e+001    8.28493730420479e-001
 3.23144543358048e+001    7.63830684157016e-001

Line #2
 3.10749621841446e+001    9.92040072408064e-001
 3.13473603293079e+001    9.19780792025194e-001
 3.16235193956076e+001    8.74137261222837e-001
 3.18991411874592e+001    8.24691480480406e-001
 3.24519965945066e+001    7.37206668815764e-001
 3.25884643043122e+001    7.02978153594366e-001
 3.31423942602557e+001    6.23097841809871e-001
 3.34180160521074e+001    5.73652061067440e-001
 3.36947123928551e+001    5.31810780205156e-001
 3.41121746389929e+001    4.86158983642060e-001
 3.43872591563965e+001    4.32910952959556e-001
 3.48031095791901e+001    3.75852406576239e-001
 3.53608004562700e+001    3.22587844372257e-001
 3.59201031566940e+001    2.80730031988494e-001
 3.63402517750721e+001    2.54089485125764e-001
 3.74626180970566e+001    1.96989609938751e-001
 3.83061389805011e+001    1.66522015853729e-001
 3.90094312330035e+001    1.43667187409593e-001
 4.01355584761244e+001    1.13183061803093e-001
 4.11214570883031e+001    9.03117018374786e-002
 4.39410733916896e+001    4.45193873418140e-002
 4.47872806473744e+001    3.30630429571586e-002
 4.61981633479637e+001    1.77713855894727e-002
 4.74682801431630e+001    6.29024392259942e-003

Line #3
 3.43856473330523e+001    4.21504203139336e-001
 3.41143237367851e+001    5.01367983402352e-001
 3.39816169481158e+001    5.62212248204264e-001
 3.39875269670444e+001    6.04036997545069e-001
 3.39934369859730e+001    6.45861746885875e-001
 3.41406501847398e+001    6.87678230465941e-001
 3.42873261090584e+001    7.25692464105934e-001
 3.44323902100330e+001    7.52299947925707e-001
 3.45774543110075e+001    7.78907431745481e-001
 3.50094229672428e+001    8.35916383564361e-001
 3.52963275225035e+001    8.66317851563469e-001
 3.55826948033162e+001    8.92917069622503e-001
 3.58690620841289e+001    9.19516287681537e-001
 3.61554293649416e+001    9.46115505740571e-001
 3.65830998255924e+001    9.72706458038866e-001
 3.70102330117952e+001    9.95495160397087e-001

Line #4
 3.70102330117952e+001    9.95495160397087e-001
 3.72885411758871e+001    9.65060629355023e-001
 3.74271579834850e+001    9.46041113893917e-001
 3.77049288731288e+001    9.11804332911780e-001
 3.79837743116688e+001    8.85172051809788e-001
 3.82620824757607e+001    8.54737520767724e-001
 3.85403906398525e+001    8.24302989725659e-001
 3.88192360783925e+001    7.97670708623668e-001
 3.90980815169324e+001    7.71038427521677e-001
 3.93769269554723e+001    7.44406146419686e-001
 3.96557723940123e+001    7.17773865317694e-001
 4.00737719145982e+001    6.75924318694671e-001
 4.04928459840801e+001    6.41679271951794e-001
 4.09124573280102e+001    6.11236475148990e-001
 4.11923773154462e+001    5.92208693927146e-001
 4.16119886593763e+001    5.61765897124342e-001
 4.20326745522024e+001    5.38927600201685e-001
 4.25935890759706e+001    5.08476537638141e-001
 4.31545035997388e+001    4.78025475074598e-001
 4.38561840288971e+001    4.43763896810243e-001
 4.45584017325034e+001    4.13304568485961e-001
 4.51203908051678e+001    3.90458005802564e-001
 4.56829171522801e+001    3.71413693059241e-001
 4.62454434993925e+001    3.52369380315917e-001
 4.70889643828370e+001    3.21901786230896e-001
 4.83553202568998e+001    2.83804894983510e-001
 4.94814475000207e+001    2.53320769377010e-001
 5.03265802068093e+001    2.34259925112208e-001
 5.14532447243782e+001    2.07578049445781e-001
 5.31451219612997e+001    1.80863110736397e-001
 5.42728610277647e+001    1.61785734950116e-001
 5.56832064539060e+001    1.42691827642357e-001
 5.73756209652755e+001    1.19779138873046e-001
 5.96332481959977e+001    9.68333870607781e-002
 6.13267372562634e+001    8.15251981716137e-002
 6.24560881460725e+001    7.38545722055529e-002
 6.40088113009481e+001    6.23568990172010e-002
 6.59849067208901e+001    4.70321786065581e-002
 6.76800076044999e+001    4.31307395376133e-002
 6.92332680338235e+001    3.54353162893347e-002
 7.07865284631471e+001    2.77398930410560e-002
 7.23403261669188e+001    2.38467197328506e-002
 7.48827088551095e+001    1.60934361593969e-002
 7.84142138021673e+001    8.28229226076822e-003

Line #5
 5.04823897967449e+001    3.36912407733446e-001
 5.07687570775576e+001    3.63511625792480e-001
 5.10545870839223e+001    3.86308593911441e-001
 5.14827948190212e+001    4.16701796149809e-001
 5.19099280052240e+001    4.39490498508030e-001
 5.23370611914268e+001    4.62279200866252e-001
 5.27641943776296e+001    4.85067903224473e-001
 5.30489498350981e+001    5.00260371463288e-001
 5.34760830213009e+001    5.23049073821509e-001
 5.40445193873418e+001    5.45829510418991e-001
 5.47553334821170e+001    5.76206181135881e-001
 5.51819293938718e+001    5.95192633554029e-001
 5.58916689397509e+001    6.17964804390772e-001
 5.64595680313438e+001    6.36942991048181e-001
 5.70274671229367e+001    6.55921177705590e-001
 5.77366693943677e+001    6.74891098602260e-001
 5.84458716657988e+001    6.93861019498930e-001
 5.92969143915160e+001    7.16624924574933e-001
 6.04311007513577e+001    7.43174548069532e-001
 6.15652871111993e+001    7.69724171564130e-001
 6.28407766508791e+001    7.96265529297989e-001
 6.39744257362726e+001    8.19012902852514e-001
 6.55319843611807e+001    8.41735479124821e-001
 6.69482398062506e+001    8.64466321157868e-001
 6.86465643365487e+001    8.83378381729362e-001
 7.02035856870087e+001    9.02298708061596e-001
 7.24676602111075e+001    9.24979955530207e-001
 7.47306601863102e+001    9.40056703118672e-001
 7.67110538018367e+001    9.55149982228614e-001
 7.86909101429150e+001    9.66441011398484e-001
 8.02468569444789e+001    9.77756837850572e-001
 8.20848728312710e+001    9.85253882841107e-001
 8.34979046296526e+001    9.85171225233714e-001
 8.56185268761210e+001    9.92651738702771e-001
 9.00005372744481e+001    1.00380224994007e+000

Line #6
 9.00005372744481e+001    1.00380224994007e+000
 8.59011332357974e+001    9.92635207181293e-001
 8.33560641753664e+001    9.81377241054380e-001
 8.12349046544499e+001    9.70094477645250e-001
 7.96789578528860e+001    9.58778651193163e-001
 7.78398674171977e+001    9.43677106322480e-001
 7.62833833411858e+001    9.28559029930320e-001
 7.52926492589745e+001    9.17210140435275e-001
 7.43013779023152e+001    9.02059001000157e-001
 7.31688033658178e+001    8.86916127325778e-001
 7.16107074664617e+001    8.60391301113398e-001
 7.01939147469437e+001    8.33858209140278e-001
 6.93434092956745e+001    8.14896554004348e-001
 6.84923665699573e+001    7.92132648928344e-001
 6.76413238442400e+001    7.69368743852340e-001
 6.67897438440747e+001    7.42802588836264e-001
 6.57952488407271e+001    7.04837949760706e-001
