Generated by GetData Graph Digitizer 2.26.0.20 on July 05 2019, 15:01
from file 'C:\Users\2gouvy\Documents\ENSTA\PRe\stage\05_07\prec_pol2.JPG'

Line #1
 1.39688495128795e+001    1.88571790530580e+000
 1.51136614433900e+001    1.98000935461335e+000
 1.60300469779613e+001    2.07901565410476e+000
 1.70995049973200e+001    2.21452599092810e+000
 1.78640792004288e+001    2.34536695632414e+000
 1.83229813664596e+001    2.43453103563602e+000
 1.86292839801999e+001    2.51262008203000e+000
 1.87060566888419e+001    2.54163294126974e+000
 1.87070025538355e+001    2.58578157586469e+000
 1.85559794432008e+001    2.64584162652003e+000
 1.80248762493300e+001    2.73855745615483e+000
 1.67326670239934e+001    2.85084018091591e+000
 1.52107702493931e+001    2.90035980249155e+000
 1.46019484818867e+001    2.91705675824566e+000
 1.40689535580288e+001    2.91705675824566e+000
 1.34598165021913e+001    2.91705675824566e+000
 1.27742220260428e+001    2.90035980249155e+000
 1.20886275498944e+001    2.88375841852590e+000
 1.14027177854148e+001    2.85084018091591e+000
 1.07929501529148e+001    2.81829770653225e+000
 1.04116089163540e+001    2.78612670602009e+000
 1.00297947472964e+001    2.73070858713796e+000
 9.57152315792792e+000    2.66107335760817e+000
 9.41797774064382e+000    2.60066754984796e+000
 9.41718951981587e+000    2.56361222343514e+000
 9.56852791878173e+000    2.51984209978975e+000
 9.94718920452754e+000    2.42755352447471e+000
 1.03258504902734e+001    2.33864499473253e+000
 1.06290002207018e+001    2.27900769701283e+000
 1.10079767947788e+001    2.20817902734762e+000
 1.15392376328152e+001    2.13955162293182e+000
 1.20704984708516e+001    2.07305707123244e+000
 1.26777437967021e+001    2.00287223512188e+000
 1.31331777910900e+001    1.95179740843826e+000
 1.35127849418293e+001    1.91297471578004e+000
 1.38927073808998e+001    1.88571790530580e+000

Line #2
-4.55654696219693e+000    1.24375281675219e+000
-2.26676545701044e+000    1.37518653995428e+000
-6.63997225462685e-001    1.47325402854740e+000
 1.39767317211590e+000    1.63831789491599e+000
 3.91666929406943e+000    1.83763060672590e+000
 5.90235520383391e+000    2.04939302752770e+000
 7.81205662578428e+000    2.29212761773702e+000
 8.95860264211622e+000    2.48393840593932e+000
 9.34073209950500e+000    2.54893835061988e+000
 9.41813538480941e+000    2.60814264222923e+000
 9.41971182646530e+000    2.68408552480195e+000
 9.11735031686477e+000    2.79413486320060e+000
 8.05356748746729e+000    2.90869629958200e+000
 6.38048995806665e+000    3.01927653388214e+000
 4.17394457231138e+000    3.10719065313107e+000
 2.34747926979222e+000    3.16116312985440e+000
 6.72825298735694e-001    3.18849992395781e+000
-8.49859696692626e-001    3.19766462149504e+000
-2.67742850837091e+000    3.18849992395781e+000
-3.59129173629284e+000    3.17936149299037e+000
-4.50531260838036e+000    3.16116312985440e+000
