Generated by GetData Graph Digitizer 2.26.0.20 on July 25 2019, 13:46
from file 'C:\Users\DELL\Desktop\polaires\prec_pol5.JPG'

Line #1
 3.20954894659942e+001    5.49823915205373e+000
 3.33235141631710e+001    5.82300255215164e+000
 3.42450629212424e+001    6.13165907050260e+000
 3.51659046990621e+001    6.38299269662742e+000
 3.62415751520008e+001    6.83805158653990e+000
 3.71638308903238e+001    7.28363313012263e+000
 3.79326719140312e+001    7.71385404176139e+000
 3.80871470990244e+001    7.89297557437835e+000
 3.80882075694019e+001    8.03004104521697e+000
 3.80896215299053e+001    8.21650467950528e+000
 3.79376207757930e+001    8.35918839516252e+000
 3.77856200216807e+001    8.50434988494730e+000
 3.73274968185889e+001    8.65203217664734e+000
 3.65636046566433e+001    8.85293891604664e+000
 3.53401753311024e+001    9.00667463072089e+000
 3.36572088419664e+001    9.11064542718038e+000
 3.25861337606636e+001    9.16308004301652e+000
 3.15147051892351e+001    9.16308004301652e+000
 3.07493990667861e+001    9.16308004301652e+000
 2.95242022906160e+001    9.05851086208317e+000
 2.81455907998303e+001    8.90389035025556e+000
 2.70727482678984e+001    8.70182732969227e+000
 2.64580289390583e+001    8.35918839516252e+000
 2.63032002639393e+001    8.12273782813681e+000
 2.63017863034359e+001    7.93840211911161e+000
 2.63007258330584e+001    7.80290084109380e+000
 2.67574350756469e+001    7.49565760020451e+000
 2.76722675213272e+001    7.07760604923744e+000
 2.82813310081538e+001    6.72133228771563e+000
 2.91968704340859e+001    6.41972881731258e+000
 3.02647641042560e+001    6.06168450258930e+000
 3.10275957958241e+001    5.82300255215164e+000
 3.19431352217561e+001    5.56170944794006e+000

Line #2
-1.14364660413819e+001    1.99104122798581e+000
-7.90403921383796e+000    2.42002391605796e+000
-4.83221002026677e+000    2.87468141460841e+000
-2.06756374605270e+000    3.35647006388604e+000
 1.92546071546401e+000    4.17437561568354e+000
 6.53002309468823e+000    5.13234214567081e+000
 1.08274025545553e+001    6.20244140730465e+000
 1.45114766460857e+001    7.36771356698826e+000
 1.71223547155583e+001    8.50434988494730e+000
 1.74302446151671e+001    8.75190906942760e+000
 1.75847198001603e+001    8.95513502591487e+000
 1.75861337606636e+001    9.16308004301652e+000
 1.75882547014187e+001    9.48408620808848e+000
 1.71308384785785e+001    9.76016523576006e+000
 1.66734222557383e+001    1.00442808446950e+001
 1.57568223594288e+001    1.03366669774675e+001
 1.49925767073573e+001    1.05161683724506e+001
 1.37684404015648e+001    1.05766922127301e+001
 1.23912428712825e+001    1.06375643866528e+001
 1.10143988311260e+001    1.07603617660426e+001
 9.02495640288448e+000    1.08222910157286e+001
 6.88245275015318e+000    1.08845766876289e+001
 4.73994909742188e+000    1.09472208330647e+001
 2.44473771032662e+000    1.10735928089269e+001
 1.48819342979685e-001    1.10735928089269e+001
-2.29980675873121e+000    1.11373248012981e+001
-5.81986143187067e+000    1.12014235912319e+001
-1.05647593910543e+001    1.12014235912319e+001
